num_people_enrolled,total_class_size,class_number,term
85,90,COMPSCI 294,2017 Spring
168,200,COMPSCI 294,2018 Fall
36,40,COMPSCI 294,2016 Fall
24,40,COMPSCI 294,2017 Fall
4,30,COMPSCI 294,2018 Spring
1,15,COMPSCI 294,Spring 2019
3,60,COMPSCI 294,2016 Fall
26,35,COMPSCI 294,2016 Fall
16,25,COMPSCI 294,2017 Fall
16,40,COMPSCI 294,2016 Fall
104,140,COMPSCI 294,2016 Fall
42,42,COMPSCI 294,2018 Spring
11,25,COMPSCI 294,2016 Fall
35,45,COMPSCI 294,2016 Fall
97,130,COMPSCI 294,2017 Fall
78,98,COMPSCI 294,2017 Spring
80,98,COMPSCI 294,2018 Spring
27,98,COMPSCI 294,2018 Fall
55,98,COMPSCI 294,Spring 2019
11,30,COMPSCI 294,2017 Spring
9,20,COMPSCI 294,2017 Spring
25,45,COMPSCI 294,2017 Fall
6,35,COMPSCI 294,2017 Spring
16,35,COMPSCI 294,2018 Spring
50,62,COMPSCI 294,2017 Fall
32,30,COMPSCI 294,2017 Fall
44,80,COMPSCI 294,2018 Fall
32,29,COMPSCI 294,2019 Fall
11,18,COMPSCI 294,2017 Fall
25,35,COMPSCI 294,2017 Fall
13,30,COMPSCI 294,2017 Fall
28,35,COMPSCI 294,2017 Fall
20,19,COMPSCI 294,2018 Fall
15,25,COMPSCI 294,2017 Fall
17,17,COMPSCI 294,2017 Fall
10,20,COMPSCI 294,2017 Fall
22,24,COMPSCI 294,2018 Spring
23,25,COMPSCI 294,Spring 2019
26,35,COMPSCI 294,2018 Spring
17,30,COMPSCI 294,2018 Spring
10,35,COMPSCI 294,2018 Spring
0,30,COMPSCI 294,2018 Spring
17,24,COMPSCI 294,2018 Fall
24,45,COMPSCI 294,2018 Fall
14,40,COMPSCI 294,2016 Fall
28,40,COMPSCI 294,2018 Fall
18,45,COMPSCI 294,2018 Fall
9,35,COMPSCI 294,2018 Fall
22,36,COMPSCI 294,Spring 2019
16,30,COMPSCI 294,2018 Fall
12,40,COMPSCI 294,2018 Fall
8,50,COMPSCI 294,2019 Fall
16,35,COMPSCI 294,2018 Fall
10,40,COMPSCI 294,2018 Fall
41,52,COMPSCI 294,Spring 2019
32,35,COMPSCI 294,Spring 2019
29,30,COMPSCI 294,Spring 2019
45,45,COMPSCI 294,2019 Fall
33,40,COMPSCI 294,2019 Fall
43,50,COMPSCI 294,2019 Fall
29,35,COMPSCI 294,2016 Fall
5,20,COMPSCI 294,2016 Fall
18,30,COMPSCI 294,2016 Fall
14,30,COMPSCI 294,2017 Fall
12,25,COMPSCI 294,2017 Spring
12,25,COMPSCI 294,2018 Spring
8,30,COMPSCI 294,2018 Fall
8,20,COMPSCI 294,Spring 2019
31,35,COMPSCI 294,2016 Fall
41,45,COMPSCI 294,2019 Fall
15,45,COMPSCI 294,2017 Fall
15,70,COMPSCI 294,2019 Fall
11,30,COMPSCI 294,Spring 2019
43,45,COMPSCI 294,2019 Fall
23,18,COMPSCI 294,2016 Fall
11,30,COMPSCI 294,2017 Fall
1,1,COMPSCI 294,2017 Spring
1,90,COMPSCI 298,2016 Fall
0,98,COMPSCI 298,2016 Fall
3,30,COMPSCI 298,2016 Fall
4,90,COMPSCI 298,2017 Fall
0,98,COMPSCI 298,2017 Fall
1,30,COMPSCI 298,2017 Fall
3,60,COMPSCI 298,2017 Spring
0,98,COMPSCI 298,2017 Spring
1,25,COMPSCI 298,2017 Spring
4,60,COMPSCI 298,2018 Spring
0,98,COMPSCI 298,2018 Spring
0,25,COMPSCI 298,2018 Spring
2,90,COMPSCI 298,2018 Fall
0,98,COMPSCI 298,2018 Fall
3,30,COMPSCI 298,2018 Fall
2,60,COMPSCI 298,Spring 2019
1,98,COMPSCI 298,Spring 2019
1,25,COMPSCI 298,Spring 2019
4,90,COMPSCI 298,2019 Fall
1,98,COMPSCI 298,2019 Fall
0,30,COMPSCI 298,2019 Fall
11,20,COMPSCI 298,2018 Spring
36,45,COMPSCI 298,2017 Fall
18,45,COMPSCI 298,2018 Fall
44,60,COMPSCI 298,2019 Fall
21,30,COMPSCI 298,2017 Fall
5,999,COMPSCI 299,2016 Fall
1,999,COMPSCI 299,2016 Fall
3,25,COMPSCI 299,2018 Fall
17,35,COMPSCI 299,2018 Fall
24,30,COMPSCI 370,2018 Spring
28,30,COMPSCI 370,2018 Spring
29,30,COMPSCI 370,2018 Fall
25,30,COMPSCI 370,2018 Fall
17,30,COMPSCI 370,2018 Fall
27,30,COMPSCI 370,2018 Fall
59,80,COMPSCI 370,Spring 2019
39,80,COMPSCI 370,Spring 2019
63,80,COMPSCI 370,2019 Fall
66,80,COMPSCI 370,2019 Fall
83,85,COMPSCI 375,2016 Fall
16,70,COMPSCI 375,2016 Fall
90,100,COMPSCI 375,2017 Fall
70,98,COMPSCI 375,2017 Spring
70,98,COMPSCI 375,2018 Spring
82,100,COMPSCI 375,2018 Fall
71,80,COMPSCI 375,Spring 2019
85,90,COMPSCI 375,2019 Fall
2,999,COMPSCI 399,2016 Fall
3,999,COMPSCI 399,2016 Fall
4,999,COMPSCI 399,2016 Fall
9,999,COMPSCI 399,2016 Fall
9,999,COMPSCI 399,2016 Fall
14,999,COMPSCI 399,2016 Fall
2,999,COMPSCI 399,2016 Fall
4,222,COMPSCI 399,2018 Fall
